Brand,Year,Model,Title,UsedOrNew,Transmission,DriveType,FuelType,FuelConsumption,Kilometres,ColourExtInt,Location,CylindersinEngine,BodyType,Doors,Seats,Price
Volkswagen,2014,Golf,2014 Volkswagen Golf 90 TSI Comfortline,USED,Automatic,Front,Premium,5.4,155036,Black / Black,"Castle Hill, NSW",4,Hatchback,5,5,14990
BMW,2012,M135I,2012 BMW M135I,USED,Automatic,Rear,Premium,7.5,67678,Grey / Blackeather,"Rydalmere, NSW",6,Hatchback,5,5,29950
Holden,2015,Commodore,2015 Holden Commodore SV6 Storm,USED,Automatic,Rear,Unleaded,9.8,133934,White / Black,"Homebush, NSW",6,Wagon,4,5,22999
Volkswagen,2008,Golf,2008 Volkswagen Golf GTI,USED,Automatic,Front,Premium,8,174915,Silver,"Cabramatta, NSW",4,Hatchback,5,5,14990
Holden,2014,Cruze,2014 Holden Cruze Equipe,USED,Automatic,Front,Unleaded,7.4,117000,Silver,"Windsor, NSW",4,Sedan,4,5,7888
Hyundai,2018,Imax,2018 Hyundai Imax Active,USED,Automatic,Rear,Diesel,8.8,190176,Grey / Grey,"Cabramatta, NSW",4,Wagon,4,8,27990
Mitsubishi,2013,Triton,2013 Mitsubishi Triton GLX (4X4),USED,Manual,4WD,Diesel,9.1,231675,White,"Smithfield, NSW",4,Ute / Tray,4,5,19800
BMW,2021,330I,2021 BMW 330I M Sport,USED,Automatic,Rear,Premium,6.4,23332,Black,"Sylvania, NSW",4,Sedan,4,5,67988
Volkswagen,2018,Golf,2018 Volkswagen Golf 110 TSI Comfortline,USED,Automatic,Front,Premium,5.6,130647,White / Black,"Blacktown, NSW",4,Wagon,4,5,21880
Audi,2019,Q3,2019 Audi Q3 35 Tfsi S Tronic,USED,Automatic,Front,Premium,7.2,47307,White / Black,"Carlton, NSW",4,SUV,4,5,41888
Nissan,2005,Elgrand,2005 Nissan Elgrand Highway Star,USED,Automatic,Other,Unleaded,-,69619,Black / Black,"Ingleburn, NSW",-,Commercial,,,17900
Toyota,2009,Estima,2009 Toyota Estima X (hybrid),USED,Automatic,Other,Unleaded,-,128647,Silver / Beige,"Ingleburn, NSW",-,Commercial,,,18900
Subaru,2016,Outback,2016 Subaru Outback 2.5I Premium,USED,Automatic,AWD,Premium,7.3,74983,Silver / Black,"North Narrabeen, NSW",4,SUV,4,5,29990
Mazda,2007,6,2007 Mazda 6 Classic Sports,USED,Manual,Front,Premium,8.8,102496,Black / Grey,"Leichhardt, NSW",4,Hatchback,5,5,7920
Hyundai,2015,Accent,2015 Hyundai Accent Active,USED,Automatic,Front,Unleaded,6.4,84924,Silver / Black,"Homebush, NSW",4,Hatchback,5,5,14999
Land,2013,Rover,2013and Rover Discovery 4 3.0 TDV6,USED,Automatic,4WD,Diesel,8.8,159558,White / Black,"Glebe, NSW",6,SUV,4,5,38950
Mercedes-Benz,2014,B-Class,2014 Mercedes-Benz B-Class B200 DCT,USED,Automatic,Front,Premium,-,98296,Black,"Five Dock, NSW",-,Hatchback,,,16999
Ford,2013,Focus,2013 Ford Focus Ambiente,USED,Automatic,Front,Unleaded,6.6,67590,Silver / Black,"Leichhardt, NSW",4,Hatchback,5,5,12990
Kia,2017,Sportage,2017 Kia Sportage GT-Line (awd),USED,Automatic,AWD,Unleaded,8.5,65502,White / Black,"Ryde, NSW",4,SUV,4,5,29990
Porsche,2010,Cayenne,2010 Porsche Cayenne S,USED,Automatic,AWD,Premium,10.5,193271,White / Black,"Haberfield, NSW",8,SUV,4,5,29990
Porsche,2016,Cayman,2016 Porsche Cayman GT4,USED,Manual,Rear,Premium,10.3,23481,White / Black,"Blacktown, NSW",6,Coupe,2,2,214880
