Year,UORN_D,UORN_N,UORN_U,FuelConsumption,Kilometres,CylindersinEngine,Price
2013,0.0,0.0,1.0,6.4,103629,4,12995
2013,0.0,0.0,1.0,,224899,,15800
2015,0.0,0.0,1.0,7.5,92805,6,23913
2005,0.0,0.0,1.0,9.5,98800,4,9888
2009,0.0,0.0,1.0,11,127994,6,13990
2015,0.0,0.0,1.0,6.8,171352,4,15999
2015,0.0,0.0,1.0,9.2,31931,5,38800
2011,0.0,0.0,1.0,6.2,158817,4,11800
2016,0.0,0.0,1.0,5.7,89757,4,16990
2017,0.0,0.0,1.0,,151105,,36999
2011,0.0,0.0,1.0,7.6,120209,4,18990
2011,0.0,0.0,1.0,8.9,174239,6,13800
2004,0.0,0.0,1.0,9.5,95362,4,12995
2018,0.0,0.0,1.0,5.6,67615,4,32980
2017,0.0,0.0,1.0,5.1,41522,3,18777
2018,0.0,0.0,1.0,5.3,38238,4,35800
2018,0.0,0.0,1.0,7.2,157465,4,28950
2017,0.0,0.0,1.0,5.2,44286,3,26800
2017,0.0,0.0,1.0,6.8,116134,4,28880
2007,0.0,0.0,1.0,10.8,165374,4,32950
2020,0.0,0.0,1.0,7.4,40178,4,26300
2010,0.0,0.0,1.0,8.9,191701,4,10499
2019,0.0,0.0,1.0,7.6,43534,4,25990
2015,0.0,0.0,1.0,6.9,77936,4,23990
2015,0.0,0.0,1.0,11.5,217658,8,56913
2015,0.0,0.0,1.0,6,49801,4,26990
2013,0.0,0.0,1.0,8.1,121608,4,16950
2014,0.0,0.0,1.0,5.6,112133,4,13999
2018,0.0,0.0,1.0,6.2,153438,4,31950
2013,0.0,0.0,1.0,11,215189,4,13995
2016,0.0,0.0,1.0,7.4,139558,4,12990
2011,0.0,0.0,1.0,13.6,45385,12,329990
2016,0.0,0.0,1.0,0,265837,4,25995
2010,0.0,0.0,1.0,7.6,186939,4,10995
2013,0.0,0.0,1.0,,149501,,23990
2015,0.0,0.0,1.0,7.1,103354,4,15888
2012,0.0,0.0,1.0,8.9,115000,4,22999
2017,0.0,0.0,1.0,7.9,97480,4,23999
2018,0.0,0.0,1.0,6,82020,4,29888
2020,0.0,0.0,1.0,6.7,29007,4,34990
2017,0.0,0.0,1.0,7.9,115759,4,24990
2015,0.0,0.0,1.0,,168624,,16800
2004,0.0,0.0,1.0,,236221,,9999
2006,0.0,0.0,1.0,9.9,260901,4,6990
2018,0.0,0.0,1.0,8.8,57505,4,35995
2009,0.0,0.0,1.0,10.7,153891,4,16420
2005,0.0,0.0,1.0,0,169587,6,9913
2013,0.0,0.0,1.0,5.3,170658,4,17890
2015,0.0,0.0,1.0,7.4,119342,4,21888
2016,0.0,0.0,1.0,7.8,132194,6,41950
2017,0.0,0.0,1.0,6.3,128928,4,15984
2010,0.0,0.0,1.0,11,269287,6,13995
